,plot,director,actors,rated,genre,imdb_rating,title
1,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney",G,"Animation, Adventure, Comedy",8.3,Toy Story
2,"When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.",Joe Johnston,"Robin Williams, Jonathan Hyde, Kirsten Dunst, Bradley Pierce",PG,"Adventure, Family, Fantasy",6.9,Jumanji
3,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.",Howard Deutch,"Walter Matthau, Jack Lemmon, Sophia Loren, Ann-Margret",PG-13,"Comedy, Romance",6.6,Grumpier Old Men
4,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender.",Forest Whitaker,"Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon",R,"Comedy, Drama, Romance",5.7,Waiting to Exhale
5,"George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.",Charles Shyer,"Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley",PG,"Comedy, Family, Romance",6.0,Father of the Bride Part II
6,"A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist, while both sides attempt to find balance between their personal and professional lives.",Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight",R,"Crime, Drama, Thriller",8.2,Heat
7,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",Sydney Pollack,"Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand",PG,"Comedy, Drama",6.3,Sabrina
8,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,Peter Hewitt,"Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket",PG,"Adventure, Comedy, Drama",5.6,Tom and Huck
9,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,Peter Hyams,"Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry, Whittni Wright",R,"Action, Crime, Thriller",5.7,Sudden Death
10,James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow Agent formerly believed to be dead.,Martin Campbell,"Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen",PG-13,"Action, Adventure, Thriller",7.2,GoldenEye
